countrycode	countrycode2	countryname	i_long	incomelevel	numeric	r_long	region
ABW						cam	Central America
ADO							
AFG						sas	South Asia
AGO						afr	Africa
AIA						cam	Central America
ALA							
ALB						eur	Europe
AND						eur	Europe
ARE						mde	Middle East
ARG						soa	South America
ARM						mde	Middle East
ASC							
ASM						aus	Oceania
ATA						ant	Antarctica
ATF						ant	Antarctica
ATG						cam	Central America
AUS						aus	Oceania
AUT						eur	Europe
AZE						mde	Middle East
BDI						afr	Africa
BEL						eur	Europe
BEN						afr	Africa
BES							
BFA						afr	Africa
BGD						sas	South Asia
BGR						eur	Europe
BHR						mde	Middle East
BHS						cam	Central America
BIH						eur	Europe
BLM						cam	Central America
BLR						eur	Europe
BLZ						cam	Central America
BMU						noa	North America
BOL						soa	South America
BRA						soa	South America
BRB						cam	Central America
BRN						eas	East Asia
BTN						sas	South Asia
BVT						ant	Antarctica
BWA						afr	Africa
CAF						afr	Africa
CAN						noa	North America
CCK						aus	Oceania
CHE						eur	Europe
CHI							
CHL						soa	South America
CHN						eas	East Asia
CIV						afr	Africa
CMR						afr	Africa
COD						afr	Africa
COG						afr	Africa
COK						aus	Oceania
COL						soa	South America
COM						afr	Africa
CPT							
CPV						afr	Africa
CRI						cam	Central America
CUB						cam	Central America
CUW							
CXR						aus	Oceania
CYM						cam	Central America
CYP						eur	Europe
CZE						eur	Europe
DEU						eur	Europe
DGA							
DJI						afr	Africa
DMA						cam	Central America
DNK						eur	Europe
DOM						cam	Central America
DZA						afr	Africa
ECU						soa	South America
EGY						afr	Africa
ERI						afr	Africa
ESH						afr	Africa
ESP						eur	Europe
EST						eur	Europe
ETH						afr	Africa
FIN						eur	Europe
FJI						aus	Oceania
FLK						soa	South America
FRA						eur	Europe
FRO						eur	Europe
FSM						aus	Oceania
GAB						afr	Africa
GBR						eur	Europe
GEO						mde	Middle East
GGY						eur	Europe
GHA						afr	Africa
GIB						eur	Europe
GIN						afr	Africa
GLP							
GMB						afr	Africa
GNB						afr	Africa
GNQ						afr	Africa
GRC						eur	Europe
GRD						cam	Central America
GRL						noa	North America
GTM						cam	Central America
GUF						soa	South America
GUM						aus	Oceania
GUY						soa	South America
HKG						eas	East Asia
HMD						ant	Antarctica
HND						cam	Central America
HRV						eur	Europe
HTI						cam	Central America
HUN						eur	Europe
IDN						eas	East Asia
IMN						eur	Europe
IMY							
IND						sas	South Asia
IOT						sas	South Asia
IRL						eur	Europe
IRN						mde	Middle East
IRQ						mde	Middle East
ISL						eur	Europe
ISR						mde	Middle East
ITA						eur	Europe
JAM						cam	Central America
JEY						eur	Europe
JOR						mde	Middle East
JPN						eas	East Asia
KAZ						cas	Central Asia
KEN						afr	Africa
KGZ						cas	Central Asia
KHM						eas	East Asia
KIR						aus	Oceania
KNA						cam	Central America
KOR						eas	East Asia
KSV							
KWT						mde	Middle East
LAO						eas	East Asia
LBN						mde	Middle East
LBR						afr	Africa
LBY						afr	Africa
LCA						cam	Central America
