countrycode	countrycode2	country_name	url_profile
CN	CHN	China	http://china-trade-research.hktdc.com/business-news/article/Fast-Facts/Economic-and-Trade-Information-on-China/ff/en/1/1X3CGF6L/1X09PHBA.htm
BN	BRN	Brunei	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Brunei-Market-Profile/obor/en/1/1X3CGF6L/1X0A3N9U.htm
KH	KHM	Cambodia	http://emerging-markets-research.hktdc.com/business-news/article/Asia/Cambodia-Market-Profile/mp/en/1/1X3CGF6L/1X09SQS2.htm
ID	IDN	Indonesia	http://emerging-markets-research.hktdc.com/business-news/article/Asia/Indonesia-Market-Profile/mp/en/1/1X3CGF6L/1X00107T.htm
LA	LAO	Laos	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Laos-Market-Profile/obor/en/1/1X3CGF6L/1X0A3NCR.htm
MY	MYS	Malaysia	http://emerging-markets-research.hktdc.com/business-news/article/Asia/Malaysia-Market-Profile/mp/en/1/1X3CGF6L/1X003IG2.htm
MM	MMR	Myanmar	http://emerging-markets-research.hktdc.com/business-news/article/Asia/Myanmar-Market-Profile/mp/en/1/1X3CGF6L/1X09SI4E.htm
PH	PHL	Philippines	http://emerging-markets-research.hktdc.com/business-news/article/Asia/The-Philippines-Market-Profile/mp/en/1/1X3CGF6L/1X0604RX.htm
SG	SGP	Singapore	http://developed-markets-research.hktdc.com/business-news/article/Singapore/Singapore-Market-Profile/mp/en/1/1X3CGF6L/1X003IKY.htm
TH	THA	Thailand	http://emerging-markets-research.hktdc.com/business-news/article/Asia/Thailand-Market-Profile/mp/en/1/1X3CGF6L/1X003IMW.htm
TL	TLS	Timor-Leste	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Timor-Leste-Market-Profile/obor/en/1/1X3CGF6L/1X0A3NDQ.htm
VN	VNM	Vietnam	http://emerging-markets-research.hktdc.com/business-news/article/Asia/Vietnam-Market-Profile/mp/en/1/1X3CGF6L/1X0010GK.htm
BD	BGD	Bangladesh	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Bangladesh-Market-Profile/obor/en/1/1X3CGF6L/1X0A3NMH.htm
BT	BTN	Bhutan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Bhutan-Market-Profile/obor/en/1/1X3CGF6L/1X0A3OW4.htm
IN	IND	India	http://emerging-markets-research.hktdc.com/business-news/article/Asia/India-Market-Profile/mp/en/1/1X3CGF6L/1X00106U.htm
AF	AFG	Afghanistan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Afghanistan-Market-Profile/obor/en/1/1X3CGF6L/1X0A3NEP.htm
AM	ARM	Armenia	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Armenia-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IG2.htm
AZ	AZE	Azerbaijan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Azerbaijan-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IH1.htm
GE	GEO	Geogia	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Georgia-Market-Profile/obor/en/1/1X3CGF6L/1X0A3II0.htm
IR	IRN	Iran	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Iran-Market-Profile/obor/en/1/1X3CGF6L/1X0A3P4T.htm
KZ	KAZ	Kazakhstan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Kazakhstan-Market-Profile/obor/en/1/1X3CGF6L/1X0A374B.htm
KG	KGZ	Kyrgyzstan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Kyrgyzstan-Market-Profile/obor/en/1/1X3CGF6L/1X0A3GXR.htm
MN	MNG	Mongolia	http://china-trade-research.hktdc.com/business-news/article/China-Trade-One-Belt-One-Road/Mongolia-Market-Profile/obor/en/1/1X3CGF6L/1X0A375A.htm
TJ	TJK	Tajikistan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Tajikistan-Market-Profile/obor/en/1/1X3CGF6L/1X0A3HST.htm
TM	TKM	Turkmenistan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Turkmenistan-Market-Profile/obor/en/1/1X3CGF6L/1X0A3HVQ.htm
UZ	UZB	Uzbekistan	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Uzbekistan-Market-Profile/obor/en/1/1X3CGF6L/1X0A3HWP.htm
BH	BHR	Bahrain	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Bahrain-Market-Profile/obor/en/1/1X3CGF6L/1X0A3NV8.htm
EG	EGY	Egypt	http://emerging-markets-research.hktdc.com/business-news/article/Middle-East/Egypt-Market-Profile/mp/en/1/1X3CGF6L/1X0065H4.htm
IQ	IRQ	Iraq	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Iraq-Market-Profile/obor/en/1/1X3CGF6L/1X0A3P3U.htm
IL	ISR	Israel	http://emerging-markets-research.hktdc.com/business-news/article/Middle-East/Israel-Market-Profile/mp/en/1/1X3CGF6L/1X00108S.htm
JO	JOR	Jordan	http://emerging-markets-research.hktdc.com/business-news/article/Middle-East/Jordan-Market-Profile/mp/en/1/1X3CGF6L/1X06JPMB.htm
KW	KWT	Kuwait	http://emerging-markets-research.hktdc.com/business-news/article/Middle-East/Kuwait-Market-Profile/mp/en/1/1X3CGF6L/1X003IF3.htm
LB	LBN	Lebanon	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Lebanon-Market-Profile/obor/en/1/1X3CGF6L/1X0A3P5S.htm
OM	OMN	Oman	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Oman-Market-Profile/obor/en/1/1X3CGF6L/1X0A3O00.htm
PS	PSE	Palestine	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Palestine-Market-Profile/obor/en/1/1X3CGF6L/1X0A3O1Z.htm
QA	QAT	Qatar	http://emerging-markets-research.hktdc.com/business-news/article/Middle-East/Qatar-Market-Profile/mp/en/1/1X3CGF6L/1X06O28M.htm
SA	SAU	Saud Arabia	http://emerging-markets-research.hktdc.com/business-news/article/Middle-East/Saudi-Arabia-Market-Profile/mp/en/1/1X3CGF6L/1X003II0.htm
SY	SYR	Syrian Arab Republic	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Syrian-Arab-Republic-Market-Profile/obor/en/1/1X3CGF6L/1X0A3P6R.htm
TR	TUR	Turkey	http://emerging-markets-research.hktdc.com/business-news/article/Europe/Turkey-Market-Profile/mp/en/1/1X3CGF6L/1X06RVIX.htm
AE	ARE	United Arab Emirates	http://emerging-markets-research.hktdc.com/business-news/article/Middle-East/United-Arab-Emirates-Market-Profile/mp/en/1/1X3CGF6L/1X003IOU.htm
YE	YEM	Yemen	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Yemen-Market-Profile/obor/en/1/1X3CGF6L/1X0A3NQD.htm
AL	ALB	Albania	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Albania-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IF3.htm
BY	BLR	Belarus	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Belarus-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IVN.htm
BA	BIH	Bosnia & Herzegovina	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Bosnia-and-Herzegovina-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IWM.htm
BG	BGR	Bulgaria	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Bulgaria-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IXL.htm
HR	HRV	Croatia	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Croatia-Market-Profile/obor/en/1/1X3CGF6L/1X0A3GTV.htm
CZ	CZE	Czech Republic	http://emerging-markets-research.hktdc.com/business-news/article/Europe/Czech-Republic-Market-Profile/mp/en/1/1X3CGF6L/1X003I8A.htm
EE	EST	Estonia	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Estonia-Market-Profile/obor/en/1/1X3CGF6L/1X0A3GWS.htm
HU	HUN	Hungary	http://emerging-markets-research.hktdc.com/business-news/article/Emerging-Markets-Europe/Hungary-Market-Profile/mp/en/1/1X3CGF6L/1X003IC6.htm
LV	LVA	Latvia	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Latvia-Market-Profile/obor/en/1/1X3CGF6L/1X0A3H1K.htm
LT	LTU	Lithuania	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Lithuania-Market-Profile/obor/en/1/1X3CGF6L/1X0A3H5G.htm
MK	MKD	Macedonia	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Macedonia-Market-Profile/obor/en/1/1X3CGF6L/1X0A3H6F.htm
MD	MDA	Moldova	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Moldova-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IYK.htm
ME	MNE	Montenegro	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Montenegro-Market-Profile/obor/en/1/1X3CGF6L/1X0A3IZJ.htm
PL	POL	Poland	http://emerging-markets-research.hktdc.com/business-news/article/Europe/Poland-Market-Profile/mp/en/1/1X3CGF6L/1X0010BP.htm
RO	ROU	Romania	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Romania-Market-Profile/obor/en/1/1X3CGF6L/1X0A3HK1.htm
RU	RUS	Russia	http://emerging-markets-research.hktdc.com/business-news/article/Europe/Russia-Market-Profile/mp/en/1/1X3CGF6L/1X0010CO.htm
RS	SRB	Serbia	http://china-trade-research.hktdc.com/business-news/article/One-Belt-One-Road/Serbia-Market-Profile/obor/en/1/1X3CGF6L/1X0A3HNY.htm
