type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia	LP_perc_World	IPop_rank	IPop_perc_Asia	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia	PPPGDP_perc_World	Language
zh_Hans	1228.8412	563.9401	14861.6243	1.0000	35.3441	17.4977	1.0000	48.0438	21.0513	1.0000	37.0404	14.5797	Chinese (Simplified)
ja	120.9740	104.3400	4434.1725	7.0000	3.4795	1.7226	2.0000	8.8890	3.8949	2.0000	11.0515	4.3500	Japanese
hi	509.7694	76.9752	2778.1477	2.0000	14.6620	7.2587	3.0000	6.5577	2.8734	4.0000	6.9241	2.7254	Hindi
en	398.6222	75.1043	2707.1136	3.0000	11.4652	5.6761	4.0000	6.3984	2.8036	5.0000	6.7471	2.6558	English
ar	102.0166	44.5234	3325.5083	8.0000	2.9342	1.4526	5.0000	3.7931	1.6620	3.0000	8.2883	3.2624	Arabic
ko	50.2200	42.5715	1697.0000	14.0000	1.4444	0.7151	6.0000	3.6268	1.5892	6.0000	4.2295	1.6648	Korean
vi	77.1343	33.8619	408.4570	9.0000	2.2185	1.0983	7.0000	2.8848	1.2640	15.0000	1.0180	0.4007	Vietnamese
tr	71.3327	33.0303	1348.3111	11.0000	2.0517	1.0157	8.0000	2.8140	1.2330	8.0000	3.3605	1.3227	Turkish
id	158.6906	25.1048	1528.9280	5.0000	4.5643	2.2596	9.0000	2.1388	0.9371	7.0000	3.8106	1.4999	Indonesian
zh_Hant	29.0643	22.8536	1285.7660	16.0000	0.8360	0.4139	10.0000	1.9470	0.8531	9.0000	3.2046	1.2614	Chinese (Traditional)
fil	58.4904	21.6414	385.8456	12.0000	1.6823	0.8329	11.0000	1.8437	0.8079	16.0000	0.9617	0.3785	Filipino
fa	73.0095	19.0296	962.6320	10.0000	2.0999	1.0396	12.0000	1.6212	0.7104	10.0000	2.3992	0.9444	Persian
ur	173.4596	18.9071	793.3212	4.0000	4.9891	2.4699	13.0000	1.6108	0.7058	11.0000	1.9772	0.7783	Urdu
ms_Latn	23.5945	15.8374	607.6185	18.0000	0.6786	0.3360	14.0000	1.3492	0.5912	13.0000	1.5144	0.5961	Malay (Latin)
th	54.5832	15.7964	771.6000	13.0000	1.5699	0.7772	15.0000	1.3457	0.5897	12.0000	1.9231	0.7570	Thai
bn	153.4631	9.9751	486.0927	6.0000	4.4139	2.1852	16.0000	0.8498	0.3724	14.0000	1.2115	0.4769	Bengali
uz_Latn	25.7049	9.8193	133.0454	17.0000	0.7393	0.3660	17.0000	0.8365	0.3665	23.0000	0.3316	0.1305	Uzbek (Latin)
ru	14.3906	7.1493	291.2900	19.0000	0.4139	0.2049	18.0000	0.6091	0.2669	17.0000	0.7260	0.2858	Russian
kk_Cyrl	10.9856	5.9322	253.0918	24.0000	0.3160	0.1564	19.0000	0.5054	0.2214	19.0000	0.6308	0.2483	Kazakh (Cyrillic)
he	7.8710	5.5727	257.5110	27.0000	0.2264	0.1121	20.0000	0.4748	0.2080	18.0000	0.6418	0.2526	Hebrew
az_Latn	8.2850	4.8633	141.0810	25.0000	0.2383	0.1180	21.0000	0.4143	0.1815	21.0000	0.3516	0.1384	Azerbaijani (Latin)
si	14.1590	3.1008	135.6899	20.0000	0.4072	0.2016	22.0000	0.2642	0.1157	22.0000	0.3382	0.1331	Sinhala
uz_Cyrl	4.5362	1.7328	23.4786	29.0000	0.1305	0.0646	23.0000	0.1476	0.0647	31.0000	0.0585	0.0230	Uzbek (Cyrillic)
ka	3.8562	1.6620	27.5940	31.0000	0.1109	0.0549	24.0000	0.1416	0.0620	27.0000	0.0688	0.0271	Georgian
ne	12.2276	1.6263	27.4556	23.0000	0.3517	0.1741	25.0000	0.1385	0.0607	28.0000	0.0684	0.0269	Nepali
hy	3.2213	1.4914	22.6615	33.0000	0.0927	0.0459	26.0000	0.1271	0.0557	32.0000	0.0565	0.0222	Armenian
tg_Cyrl	8.1320	1.3011	20.6180	26.0000	0.2339	0.1158	27.0000	0.1108	0.0486	34.0000	0.0514	0.0202	Tajik (Cyrillic)
km	13.4274	0.8056	41.0388	21.0000	0.3862	0.1912	28.0000	0.0686	0.0301	25.0000	0.1023	0.0403	Khmer
ps	13.1374	0.7751	25.2707	22.0000	0.3779	0.1871	29.0000	0.0660	0.0289	29.0000	0.0630	0.0248	Pashto
ta	3.2367	0.7668	38.8619	32.0000	0.0931	0.0461	30.0000	0.0653	0.0286	26.0000	0.0969	0.0381	Tamil
ky_Cyrl	2.7091	0.6339	8.7490	34.0000	0.0779	0.0386	31.0000	0.0540	0.0237	37.0000	0.0218	0.0086	Kyrgyz (Cyrillic)
lo	4.6713	0.5839	21.7943	28.0000	0.1344	0.0665	32.0000	0.0497	0.0218	33.0000	0.0543	0.0214	Lao
az_Cyrl	0.9216	0.5410	15.6933	36.0000	0.0265	0.0131	33.0000	0.0461	0.0202	36.0000	0.0391	0.0154	Azerbaijani (Cyrillic)
mn_Cyrl	2.6803	0.4744	24.9110	35.0000	0.0771	0.0382	34.0000	0.0404	0.0177	30.0000	0.0621	0.0244	Mongolian (Cyrillic)
el	0.6607	0.4325	19.0050	39.0000	0.0190	0.0094	35.0000	0.0368	0.0161	35.0000	0.0474	0.0186	Greek
my	32.6266	0.3915	141.7466	15.0000	0.9384	0.4646	36.0000	0.0334	0.0146	20.0000	0.3533	0.1391	Burmese
tk_Latn	3.9928	0.3833	51.3604	30.0000	0.1148	0.0569	37.0000	0.0327	0.0143	24.0000	0.1280	0.0504	Turkmen (Latin)
dv	0.3158	0.1393	3.7647	41.0000	0.0091	0.0045	38.0000	0.0119	0.0052	40.0000	0.0094	0.0037	Divehi
dz	0.3544	0.1060	2.5502	40.0000	0.0102	0.0050	39.0000	0.0090	0.0040	41.0000	0.0064	0.0025	Dzongkha
ms_Arab	0.0203	0.0131	1.4993	42.0000	0.0006	0.0003	40.0000	0.0011	0.0005	42.0000	0.0037	0.0015	Malay (Arabic)
tet	0.7039	0.0077	5.4038	37.5000	0.0202	0.0100	41.5000	0.0007	0.0003	38.5000	0.0135	0.0053	Tetum
pt	0.7039	0.0077	5.4038	37.5000	0.0202	0.0100	41.5000	0.0007	0.0003	38.5000	0.0135	0.0053	Portuguese
fr													French
