type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia	LP_perc_World	IPop_rank	IPop_perc_Asia	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia	PPPGDP_perc_World	Language
wuu	81.6456	37.3937	968.9454	7.0000	4.2475	1.1626	1.0000	9.3347	1.3959	2.0000	6.6163	0.9506	Wu Chinese
en	98.1788	28.7228	1310.4855	3.0000	5.1076	1.3980	2.0000	7.1702	1.0722	1.0000	8.9484	1.2856	English
hsn	39.4620	18.0736	468.3236	15.0000	2.0530	0.5619	3.0000	4.5118	0.6747	8.0000	3.1979	0.4594	Xiang Chinese
bn	100.7366	15.2108	548.9123	2.0000	5.2407	1.4344	4.0000	3.7971	0.5678	5.0000	3.7482	0.5385	Bengali
hak	31.2975	14.3342	371.4291	17.0000	1.6282	0.4457	5.0000	3.5783	0.5351	10.0000	2.5362	0.3644	Hakka Chinese
pa_Arab	127.8123	13.9315	584.5525	1.0000	6.6492	1.8199	6.0000	3.4778	0.5200	4.0000	3.9915	0.5735	Punjabi (Arabic)
jv	84.6638	13.5776	820.5661	6.0000	4.4045	1.2055	7.0000	3.3894	0.5068	3.0000	5.6031	0.8050	Javanese
te	89.5205	13.5176	487.8698	4.0000	4.6572	1.2747	8.0000	3.3745	0.5046	6.0000	3.3313	0.4786	Telugu
mr	87.0338	13.1421	474.3179	5.0000	4.5278	1.2393	9.0000	3.2807	0.4906	7.0000	3.2388	0.4653	Marathi
ta	74.6149	11.9193	428.9131	8.0000	3.8817	1.0625	10.0000	2.9755	0.4449	9.0000	2.9288	0.4208	Tamil
es	30.2200	11.1814	199.3536	19.0000	1.5722	0.4303	11.0000	2.7913	0.4174	22.0000	1.3613	0.1956	Spanish
gan	23.1329	10.5949	274.5345	25.0000	1.2035	0.3294	12.0000	2.6448	0.3955	17.0000	1.8746	0.2693	Gan Chinese
ur	62.1670	9.3872	338.7985	10.0000	3.2341	0.8852	13.0000	2.3434	0.3504	11.0000	2.3134	0.3324	Urdu
ceb	23.3962	8.6566	154.3382	24.0000	1.2172	0.3331	14.0000	2.1610	0.3231	26.0000	1.0539	0.1514	Cebuano
gu	55.9503	8.4485	304.9187	11.0000	2.9107	0.7967	15.0000	2.1090	0.3154	13.0000	2.0821	0.2991	Gujarati
lah	73.0667	7.9656	334.1994	9.0000	3.8012	1.0404	16.0000	1.9885	0.2973	12.0000	2.2820	0.3279	Lahnda
kn	46.0036	6.9465	250.7109	12.0000	2.3933	0.6551	17.0000	1.7341	0.2593	19.0000	1.7119	0.2460	Kannada
ml	40.5266	6.6472	261.6829	13.0000	2.1083	0.5771	18.0000	1.6594	0.2481	18.0000	1.7869	0.2567	Malayalam
or	39.7869	6.0078	216.8310	14.0000	2.0699	0.5665	19.0000	1.4998	0.2243	21.0000	1.4806	0.2127	Oriya
az_Arab	18.4747	5.8011	298.6392	26.5000	0.9611	0.2631	20.5000	1.4482	0.2165	14.5000	2.0392	0.2930	Azerbaijani (Arabic)
azb	18.4747	5.8011	298.6392	26.5000	0.9611	0.2631	20.5000	1.4482	0.2165	14.5000	2.0392	0.2930	South Azerbaijani
pa_Guru	34.8227	5.2635	190.4501	16.0000	1.8116	0.4958	22.0000	1.3139	0.1965	23.0000	1.3005	0.1868	Punjabi (Gurmukhi)
zh_Hant	10.2537	4.8116	169.9929	40.0000	0.5334	0.1460	23.0000	1.2011	0.1796	24.0000	1.1608	0.1668	Chinese (Traditional)
tts	16.3750	4.7389	231.4800	30.0000	0.8519	0.2332	24.0000	1.1830	0.1769	20.0000	1.5806	0.2271	Northeastern Thai
su	29.7545	4.7072	286.6740	20.0000	1.5479	0.4237	25.0000	1.1751	0.1757	16.0000	1.9575	0.2812	Sundanese
bho	30.4865	4.5694	160.0904	18.0000	1.5860	0.4341	26.0000	1.1407	0.1706	25.0000	1.0932	0.1571	Bhojpuri
ii	8.1646	3.7394	96.8945	45.0000	0.4248	0.1163	27.0000	0.9335	0.1396	33.0000	0.6616	0.0951	Sichuan Yi
awa	24.2349	3.6484	130.1162	23.0000	1.2608	0.3451	28.0000	0.9108	0.1362	30.0000	0.8885	0.1276	Awadhi
ilo	9.3585	3.4626	61.7353	42.0000	0.4869	0.1333	29.0000	0.8644	0.1293	51.0000	0.4215	0.0606	Iloko
ug_Arab	7.4871	3.4280	88.8255	47.0000	0.3895	0.1066	30.0000	0.8557	0.1280	35.0000	0.6065	0.0871	Uyghur (Arabic)
ps	27.7735	3.2545	143.7988	21.0000	1.4449	0.3955	31.0000	0.8124	0.1215	29.0000	0.9819	0.1411	Pashto
hil	8.1887	3.0298	54.0184	44.0000	0.4260	0.1166	32.0000	0.7563	0.1131	54.0000	0.3689	0.0530	Hiligaynon
sd_Arab	25.1434	2.8764	117.8265	22.0000	1.3080	0.3580	33.0000	0.7180	0.1074	31.0000	0.8046	0.1156	Sindhi (Arabic)
mai	17.9770	2.6595	88.1755	28.0000	0.9352	0.2560	34.0000	0.6639	0.0993	36.0000	0.6021	0.0865	Maithili
ru	7.1810	2.6329	64.6051	49.0000	0.3736	0.1023	35.0000	0.6573	0.0983	48.0000	0.4411	0.0634	Russian
mad	15.6211	2.4713	150.5038	33.0000	0.8127	0.2224	36.0000	0.6169	0.0923	27.0000	1.0277	0.1476	Madurese
as	16.1634	2.4407	88.0876	31.0000	0.8409	0.2302	37.0000	0.6093	0.0911	37.0000	0.6015	0.0864	Assamese
mag	14.9201	2.2529	81.3116	35.0000	0.7762	0.2125	39.0000	0.5624	0.0841	39.0000	0.5552	0.0798	Magahi
mwr	14.9201	2.2529	81.3116	35.0000	0.7762	0.2125	39.0000	0.5624	0.0841	39.0000	0.5552	0.0798	Marwari
bgc	14.9201	2.2529	81.3116	35.0000	0.7762	0.2125	39.0000	0.5624	0.0841	39.0000	0.5552	0.0798	Haryanvi
hne	13.6767	2.0652	74.5357	37.0000	0.7115	0.1947	41.0000	0.5155	0.0771	45.0000	0.5090	0.0731	Chhattisgarhi
ku_Latn	4.4007	2.0283	81.1240	60.0000	0.2289	0.0627	42.0000	0.5063	0.0757	41.0000	0.5539	0.0796	Kurdish (Latin)
za	4.2184	1.9320	50.0622	61.0000	0.2195	0.0601	43.0000	0.4823	0.0721	56.0000	0.3418	0.0491	Zhuang
nod	6.5500	1.8956	92.5920	53.0000	0.3408	0.0933	44.0000	0.4732	0.0708	34.0000	0.6322	0.0908	Northern Thai
dcc	12.3091	1.8587	67.0821	38.0000	0.6404	0.1753	45.0000	0.4640	0.0694	47.0000	0.4581	0.0658	Deccan
skr	16.6156	1.8111	75.9918	29.0000	0.8644	0.2366	46.0000	0.4521	0.0676	44.0000	0.5189	0.0746	Saraiki
ms_Arab	11.4059	1.8044	109.8917	39.0000	0.5934	0.1624	47.0000	0.4504	0.0674	32.0000	0.7504	0.1078	Malay (Arabic)
mn_Mong	3.5380	1.6204	41.9876	67.0000	0.1841	0.0504	48.0000	0.4045	0.0605	60.0000	0.2867	0.0412	Mongolian (Mongolian)
ckb	9.9573	1.5826	148.4525	41.0000	0.5180	0.1418	49.0000	0.3951	0.0591	28.0000	1.0137	0.1456	Sorani Kurdish
sou	5.4583	1.5796	77.1600	55.0000	0.2840	0.0777	50.0000	0.3943	0.0590	42.0000	0.5269	0.0757	Southern Thai
bal	8.8839	1.5317	76.9278	43.0000	0.4622	0.1265	51.0000	0.3824	0.0572	43.0000	0.5253	0.0755	Baluchi
ko	2.7033	1.5059	48.4949	79.0000	0.1406	0.0385	52.0000	0.3759	0.0562	57.0000	0.3311	0.0476	Korean
rkt	15.6494	1.4877	62.0551	32.0000	0.8141	0.2228	53.0000	0.3714	0.0555	50.0000	0.4237	0.0609	Rangpuri
