type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia(Not)	LP_perc_World	IPop_rank	IPop_perc_Asia(Not)	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia(Not)	PPPGDP_perc_World	Language
en	334.1419	146.6242	4980.8611	1.0000	17.2717	4.7579	1.0000	16.1184	5.4733	1.0000	14.8206	4.8864	English
es	267.8863	137.9179	4763.8668	2.0000	13.8469	3.8145	2.0000	15.1613	5.1483	2.0000	14.1749	4.6735	Spanish
pt	216.1759	103.9214	3123.6468	3.0000	11.1740	3.0782	3.0000	11.4241	3.8793	6.0000	9.2944	3.0644	Portuguese
ru	136.2137	83.5531	3302.1371	6.0000	7.0408	1.9396	4.0000	9.1850	3.1190	5.0000	9.8255	3.2395	Russian
de	88.0943	73.8805	3914.2938	8.0000	4.5536	1.2544	5.0000	8.1217	2.7579	3.0000	11.6470	3.8400	German
fr	187.2146	72.7677	3553.4047	4.0000	9.6770	2.6658	6.0000	7.9994	2.7163	4.0000	10.5732	3.4860	French
ar	168.2684	65.1054	1702.0097	5.0000	8.6977	2.3960	7.0000	7.1570	2.4303	8.0000	5.0643	1.6697	Arabic
it	57.0448	33.4453	1953.9992	9.0000	2.9486	0.8123	8.0000	3.6766	1.2485	7.0000	5.8141	1.9169	Italian
pl	36.9917	23.2490	860.9069	10.0000	1.9121	0.5267	9.0000	2.5558	0.8679	10.0000	2.5616	0.8446	Polish
nl	23.4334	21.0152	1038.4316	13.0000	1.2113	0.3337	10.0000	2.3102	0.7845	9.0000	3.0899	1.0187	Dutch
sw	96.8553	17.0660	205.8221	7.0000	5.0064	1.3791	11.0000	1.8761	0.6371	19.0000	0.6124	0.2019	Swahili
uk	29.4925	12.3278	255.1283	11.0000	1.5245	0.4200	12.0000	1.3552	0.4602	16.0000	0.7591	0.2503	Ukrainian
ro	21.3996	10.6278	344.5734	15.0000	1.1061	0.3047	13.0000	1.1683	0.3967	12.0000	1.0253	0.3380	Romanian
sv	9.4639	8.9601	409.7490	24.0000	0.4892	0.1348	14.0000	0.9850	0.3345	11.0000	1.2192	0.4020	Swedish
