type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia(Not)	LP_perc_World	IPop_rank	IPop_perc_Asia(Not)	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia(Not)	PPPGDP_perc_World	Language
en	641.5770	468.8890	25773.7042	1.0000	40.8497	9.1356	1.0000	56.9893	17.5032	1.0000	67.0014	25.2847	English
es	133.6131	72.3973	3530.4612	2.0000	8.5072	1.9025	2.0000	8.7993	2.7025	2.0000	9.1778	3.4635	Spanish
arz	53.5680	26.5483	582.2688	3.0000	3.4107	0.7628	3.0000	3.2267	0.9910	4.0000	1.5137	0.5712	Egyptian Arabic
fr	27.2935	19.6338	905.3355	11.0000	1.7378	0.3886	4.0000	2.3863	0.7329	3.0000	2.3535	0.8882	French
ary	28.5821	16.0060	210.2590	9.0000	1.8198	0.4070	5.0000	1.9454	0.5975	13.0000	0.5466	0.2063	Moroccan Arabic
ru	28.0385	14.5890	467.8661	10.0000	1.7852	0.3992	6.0000	1.7732	0.5446	5.0000	1.2163	0.4590	Russian
pcm	35.5492	13.5087	204.2557	5.0000	2.2634	0.5062	7.0000	1.6419	0.5043	14.0000	0.5310	0.2004	Nigerian Pidgin
ha_Latn	29.0355	8.5056	134.0397	7.0000	1.8487	0.4134	8.0000	1.0338	0.3175	18.0000	0.3485	0.1315	Hausa (Latin)
ig	22.0067	8.3625	126.4440	12.0000	1.4012	0.3134	9.0000	1.0164	0.3122	19.0000	0.3287	0.1240	Igbo
nds	9.8304	8.2672	427.7735	17.0000	0.6259	0.1400	10.0000	1.0048	0.3086	7.0000	1.1120	0.4197	Low German
it	9.8125	8.0463	414.1870	18.0000	0.6248	0.1397	11.0000	0.9780	0.3004	8.0000	1.0767	0.4063	Italian
bar	8.0598	6.4977	357.8850	23.0000	0.5132	0.1148	12.0000	0.7897	0.2426	9.0000	0.9304	0.3511	Bavarian
zu	13.1152	6.2528	160.3789	13.0000	0.8351	0.1868	13.0000	0.7600	0.2334	16.0000	0.4169	0.1573	Zulu
nl	7.3548	6.1735	319.4433	27.0000	0.4683	0.1047	14.0000	0.7503	0.2305	10.0000	0.8304	0.3134	Dutch
ca	8.0528	5.7720	258.1154	24.0000	0.5127	0.1147	15.0000	0.7015	0.2155	11.0000	0.6710	0.2532	Catalan
arq	31.4570	5.1904	433.7281	6.0000	2.0029	0.4479	16.0000	0.6308	0.1938	6.0000	1.1275	0.4255	Algerian Arabic
xh	9.5557	4.6644	119.3238	20.0000	0.6084	0.1361	17.0000	0.5669	0.1741	20.0000	0.3102	0.1171	Xhosa
fuv	11.3419	4.3099	65.1673	14.0000	0.7221	0.1615	18.0000	0.5238	0.1609	29.0000	0.1694	0.0639	Nigerian Fulfulde
aeb	9.7983	4.2917	107.7606	19.0000	0.6239	0.1395	19.0000	0.5216	0.1602	22.0000	0.2801	0.1057	Tunisian Arabic
vmf	4.8480	4.0704	210.7656	40.0000	0.3087	0.0690	20.0000	0.4947	0.1519	12.0000	0.5479	0.2068	Main-Franconian
zgh	7.2277	4.0475	53.1689	28.0000	0.4602	0.1029	21.0000	0.4919	0.1511	34.0000	0.1382	0.0522	Standard Moroccan Tamazight
de	5.4356	3.6272	177.5718	36.0000	0.3461	0.0774	22.0000	0.4409	0.1354	15.0000	0.4616	0.1742	German
af	8.5240	3.5956	102.9130	22.0000	0.5427	0.1214	23.0000	0.4370	0.1342	24.0000	0.2675	0.1010	Afrikaans
ki	7.1060	2.7713	21.3809	29.0000	0.4524	0.1012	24.0000	0.3368	0.1034	67.0000	0.0556	0.0210	Kikuyu
zh_Hant	3.0317	2.5607	150.5608	59.0000	0.1930	0.0432	25.0000	0.3112	0.0956	17.0000	0.3914	0.1477	Chinese (Traditional)
tr	3.4414	2.5253	116.7131	50.0000	0.2191	0.0490	26.0000	0.3069	0.0943	21.0000	0.3034	0.1145	Turkish
nso	4.9803	2.4354	62.2863	39.0000	0.3171	0.0709	27.0000	0.2960	0.0909	31.0000	0.1619	0.0611	Northern Sotho
gl	3.2774	2.3443	104.5916	54.0000	0.2087	0.0467	28.0000	0.2849	0.0875	23.0000	0.2719	0.1026	Galician
tn	4.3795	2.1306	54.4535	45.0000	0.2788	0.0624	29.0000	0.2590	0.0795	33.0000	0.1416	0.0534	Tswana
wo	9.8979	2.0671	22.2112	16.0000	0.6302	0.1409	30.0000	0.2512	0.0772	66.0000	0.0577	0.0218	Wolof
st	4.1856	2.0467	52.3470	46.0000	0.2665	0.0596	31.0000	0.2488	0.0764	35.0000	0.1361	0.0514	Southern Sotho
luy	4.5980	1.7932	13.8347	42.0000	0.2928	0.0655	32.0000	0.2179	0.0669	89.0000	0.0360	0.0136	Luyia
shi_Tfng	2.8582	1.6006	21.0259	61.5000	0.1820	0.0407	33.5000	0.1945	0.0597	70.5000	0.0547	0.0206	Tachelhit (Tifinagh)
shi_Latn	2.8582	1.6006	21.0259	61.5000	0.1820	0.0407	33.5000	0.1945	0.0597	70.5000	0.0547	0.0206	Tachelhit (Latin)
luo	4.0964	1.5976	12.3255	47.0000	0.2608	0.0583	35.0000	0.1942	0.0596	99.0000	0.0320	0.0121	Luo
oc	1.9098	1.5645	76.0353	80.0000	0.1216	0.0272	36.0000	0.1902	0.0584	25.0000	0.1977	0.0746	Occitan
sco	1.7303	1.5546	62.6519	88.0000	0.1102	0.0246	37.0000	0.1889	0.0580	30.0000	0.1629	0.0615	Scots
hu	2.5460	1.4363	47.3894	70.0000	0.1621	0.0363	38.0000	0.1746	0.0536	39.0000	0.1232	0.0465	Hungarian
da	1.6183	1.3590	70.3489	91.0000	0.1030	0.0230	39.0000	0.1652	0.0507	28.0000	0.1829	0.0690	Danish
gsw	1.5397	1.3072	74.8992	96.0000	0.0980	0.0219	40.0000	0.1589	0.0488	26.0000	0.1947	0.0735	Swiss German
ts	4.3907	1.2548	31.4313	44.0000	0.2796	0.0625	41.0000	0.1525	0.0468	53.0000	0.0817	0.0308	Tsonga
kln	3.1768	1.2390	9.5585	55.5000	0.2023	0.0452	42.5000	0.1506	0.0463	121.5000	0.0248	0.0094	Kalenjin
kam	3.1768	1.2390	9.5585	55.5000	0.2023	0.0452	42.5000	0.1506	0.0463	121.5000	0.0248	0.0094	Kamba
tt	2.0118	1.2352	48.8827	76.0000	0.1281	0.0286	44.0000	0.1501	0.0461	37.0000	0.1271	0.0480	Tatar
ak	9.9696	1.2263	40.1630	15.0000	0.6348	0.1420	45.0000	0.1490	0.0458	47.0000	0.1044	0.0394	Akan
umb	6.0378	1.1532	48.1704	34.0000	0.3844	0.0860	46.0000	0.1402	0.0430	38.0000	0.1252	0.0473	Umbundu
cv	1.8681	1.1470	45.3911	81.5000	0.1189	0.0266	47.5000	0.1394	0.0428	41.5000	0.1180	0.0445	Chuvash
ba	1.8681	1.1470	45.3911	81.5000	0.1189	0.0266	47.5000	0.1394	0.0428	41.5000	0.1180	0.0445	Bashkir
fil	1.3288	1.1188	70.4258	106.0000	0.0846	0.0189	49.0000	0.1360	0.0418	27.0000	0.1831	0.0691	Filipino
rif_Latn	1.8114	1.0909	21.2056	84.0000	0.1153	0.0258	50.0000	0.1326	0.0407	68.0000	0.0551	0.0208	Riffian (Latin)
sq	1.9450	1.0555	24.5469	79.0000	0.1238	0.0277	51.0000	0.1283	0.0394	60.0000	0.0638	0.0241	Albanian
tiv	2.7085	1.0292	15.5623	64.0000	0.1725	0.0386	52.0000	0.1251	0.0384	83.0000	0.0405	0.0153	Tiv
jam	2.6448	0.9997	22.4456	66.0000	0.1684	0.0377	53.0000	0.1215	0.0373	64.0000	0.0583	0.0220	Jamaican Creole English
kmb	5.2050	0.9942	41.5262	38.0000	0.3314	0.0741	54.0000	0.1208	0.0371	44.0000	0.1080	0.0407	Kimbundu
vls	1.1162	0.9172	45.4954	119.0000	0.0711	0.0159	55.0000	0.1115	0.0342	40.0000	0.1183	0.0446	West Flemish
vi	1.0757	0.9057	57.0114	122.0000	0.0685	0.0153	56.0000	0.1101	0.0338	32.0000	0.1482	0.0559	Vietnamese
